산업명,코드,테스트_연도,훈련_시작,훈련_끝,n_obs,beta_i,alpha,r2,decay_lambda,granger_p,actual_dM,actual_dF,pred_dF
도매 및 소매업,G,2015,2012,2014,3,-2.659061,14.66229,0.903851,0.8,,6.243,2.57,-1.9383
도매 및 소매업,G,2016,2012,2015,4,-0.499253,5.592292,0.585203,0.8,,5.2994,5.06,2.9466
도매 및 소매업,G,2017,2012,2016,5,-0.250013,4.968961,0.041402,0.8,0.2821,5.5213,10.33,3.5886
도매 및 소매업,G,2018,2012,2017,6,0.941866,0.648106,0.052418,0.8,0.1263,3.7607,5.25,4.1902
도매 및 소매업,G,2019,2012,2018,7,0.585123,2.63035,0.038136,0.8,0.3804,1.6751,2.95,3.6105
도매 및 소매업,G,2020,2012,2019,8,0.743401,1.83018,0.203141,0.8,0.2396,0.8758,1.38,2.4813
도매 및 소매업,G,2021,2012,2020,9,0.914785,1.007002,0.426303,0.8,0.1396,7.9402,18.0,8.2706
도매 및 소매업,G,2022,2012,2021,10,2.112482,-2.028069,0.739443,0.8,0.5098,4.5847,12.11,7.6571
도매 및 소매업,G,2023,2012,2022,11,2.14683,-1.205085,0.673726,0.8,0.476,3.6538,-2.11,6.639
도매 및 소매업,G,2024,2012,2023,12,2.416632,-4.228871,0.526547,0.8,0.8621,6.1515,2.86,10.637
